Timestamp,Motion_Yaw,Motion_WorldPositionZ,Motion_WorldPositionY,Motion_WorldPositionX,Throttle,Steer,Speed,Motion_Roll,Motion_Pitch,Gear,Motion_GForceVertical,Motion_GForceLongitudinal,Motion_GForceLateral,EngineTemp,EngineRPM,Brake,LapNumber
1612191099000000000,-1.6215802431106567,-39.90142059326172,91.49635314941406,-348.535400390625,0,0,0,-0.000868909468408674,-0.007906198501586914,0,0,0,0,90,3488.2,0,1
1612191100000000000,-1.6215802431106567,-39.90142059326172,91.49635314941406,-348.535400390625,0,0,0,-0.0008689093390583164,-0.007906198501586914,0,0,0,0,90,3501.277777777778,0,1
1612191101000000000,-1.6215802431106567,-39.90142059326172,91.49635314941406,-348.535400390625,0,0,0,-0.0008689093228895217,-0.007906198501586914,0,0,0,0,90,3500.0625,0,1
1612191102000000000,-1.1901855137613084,215.21429273817273,100.6606076558431,88.52178022596571,0.7222222222222222,0.004283958159956253,170.72222222222223,0.018069841045265395,-0.01527788241704305,4.222222222222222,0.07201007678587404,0.657595694065094,-0.04794162028055224,90,9388.666666666666,0,1
1612191103000000000,-1.074158363044262,314.9959087371826,103.13010501861572,164.02579402923584,1,-0.0008973703743322403,242.8125,0.023994412156753242,-0.00967976450920105,6,0.04757422534748912,0.6852024160325527,0.007624680172739318,90,11159,0,1
1612191104000000000,-1.0700415686557168,348.91046142578125,103.13648384495785,101.70467216090152,1,-0.0013213140559137652,263.1578947368421,0.024556012334007966,-0.015081537397284257,6.7894736842105265,-0.1097491979598999,0.5151052678886213,0.03807130583414906,90,10896.263157894737,0,1
1612191105000000000,-1.0651789150739972,386.04982396175984,102.17845274272717,34.275997826927586,1,-0.0004896334154948004,279.05263157894734,0.023868079346261527,-0.02821095993644313,7,-0.1070317454440029,0.38602297400173385,0.01855985107096402,90,11220.736842105263,0,1
1612191106000000000,-1.0658214405963296,424.59792769582646,99.99498427541633,-35.30501910259849,1,0,290.63157894736844,0.023383098507398052,-0.03905205350173147,7.105263157894737,-0.04415454972829474,0.2690103189333489,-0.010201973509729692,90,11576.421052631578,0,1
1612191107000000000,-1.0663310226641203,464.2181830155222,97.48165291234066,-106.97636654502467,1,0,298.63157894736844,0.023832810454462703,-0.030556998754802504,8,0.157279582400071,0.2080286011884087,0.0015752110591979306,90,10663.78947368421,0,1
1612191108000000000,-1.0609210039439954,505.0333332262541,96.30549742046155,-180.66459896689966,1,-0.10526315789473684,304.63157894736844,0.026365101827602638,-0.015103089182000411,8,0.1723648279439658,0.13740448026280655,0.10284777323249727,90,10877.052631578947,0,1
1612191109000000000,-1.0544779698053997,545.444322374132,96.4306886461046,-252.2738528781467,0.5555555555555556,0,292.77777777777777,0.02651660961823331,-0.010510709550645616,7.888888888888889,-0.05456561522765292,-1.80890077062779,0.015871447743847966,90,10523.277777777777,0.4430168867111206,1
1612191110000000000,-1.1358108144057424,578.4568674187911,96.35048555072986,-311.6818478232936,0,0.7368421052631579,184.94736842105263,0.018685284658874337,-0.018618119390387284,5.631578947368421,-0.06786675741405863,-2.5074099427775334,-1.3467718296880393,90,8843.631578947368,0.955139978935844,1
1612191111000000000,-1.68890927339855,587.9807000411184,95.68420088918586,-351.686080129523,0.10290313394446123,1,128.78947368421052,0.009024531243516034,-0.02323739152205618,4,0.028648940944357923,-0.5680942837528786,-2.4508817195892334,90,8040.473684210527,0.18478736791171527,1
1612191112000000000,-2.3593281507492065,573.0955132378472,95.07464769151476,-382.9121398925781,0.6115838587284088,1,132.5,0.018970457423064444,0.0055815908643934466,4,0.029771299471677694,0.4818904880020354,-2.4634766578674316,90,8508.444444444445,0,1
1612191113000000000,-2.945250335492586,540.3401360762747,94.35136493883635,-399.78806987561677,1,0.5789473684210527,149.73684210526315,0.01190246286262807,0.00696035435325221,4,-0.0021987998441449904,0.8165429156077536,-1.9289559870958328,90,9548.473684210527,0,1
1612191114000000000,-0.30611544847488403,493.50579223632815,93.22909812927246,-402.78247833251953,1,0.4,189.35,0.02357448833063245,0.02336881160736084,4.5,0.04522425712784752,1.1311418563127518,-0.3248137978836894,90,11088.65,0,1
1612191115000000000,3.10147323873308,435.34027777777777,92.21972147623698,-401.52482265896265,1,0,224.66666666666666,0.010704572643589927,0.011198812060885958,5.666666666666667,0.01808416646801763,0.8621643649207221,-0.08438677366615997,90,10916.666666666666,0,1
1612191116000000000,3.0999609043723657,370.5088661595395,91.54139709472656,-398.8002865439967,1,-0.10526315789473684,249.52631578947367,-0.024956151450935164,-0.024695201923972683,6.052631578947368,0.0762016663670932,0.6231024390772769,0.03443694183308827,90,11383.421052631578,0,1
1612191117000000000,3.1041690801319324,298.97410824424344,91.27870459305613,-396.03065571032073,1,0,267.89473684210526,-0.030651934248836415,-0.030615367387470446,7,0.003091178956980768,0.49568113370945577,-0.0015086205921282893,90,10775.526315789473,0,1
1612191118000000000,3.109323765102186,221.86212399131372,91.21862431576378,-393.2804388748972,1,-0.15789473684210525,283.7894736842105,-0.024131089448928833,-0.024143275461698834,7,-0.0023491910879353158,0.39148773331391185,0.07098925652864732,90,11409.263157894737,0,1
1612191119000000000,3.1168209181891546,139.21862284342447,91.2309816148546,-390.98990546332465,1,0,295.5,-0.020016638769043818,-0.020030087894863553,7.611111111111111,0.0021942719144539703,0.2429497241973877,0.025769427185878158,90,11062.277777777777,0,1
